Month,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,MeanValue,DateTime,Train
1996-07-01,61899,10705,Yonkers,NY,New York,Westchester,2384,184000.0,1996-07-01,HUDSON
1996-07-01,61870,10573,Port Chester,NY,New York,Westchester,2897,262000.0,1996-07-01,NEWHAVEN
1996-07-01,61898,10704,Yonkers,NY,New York,Westchester,3165,173700.0,1996-07-01,HUDSON
1996-07-01,61864,10562,Ossining,NY,New York,Westchester,3473,202400.0,1996-07-01,HUDSON
1996-07-01,61904,10710,Yonkers,NY,New York,Westchester,4126,217100.0,1996-07-01,HUDSON
1996-07-01,61886,10598,Yorktown,NY,New York,Westchester,4137,206200.0,1996-07-01,missing
1996-07-01,61902,10708,Eastchester,NY,New York,Westchester,4470,306100.0,1996-07-01,missing
1996-07-01,61865,10566,Peekskill,NY,New York,Westchester,4580,143800.0,1996-07-01,HUDSON
1996-07-01,61881,10591,Sleepy Hollow,NY,New York,Westchester,4983,257600.0,1996-07-01,missing
1996-07-01,61859,10552,Mount Vernon,NY,New York,Westchester,5136,229500.0,1996-07-01,missing
1996-07-01,61851,10543,Mamaroneck,NY,New York,Westchester,5838,285900.0,1996-07-01,NEWHAVEN
1996-07-01,61891,10605,White Plains,NY,New York,Westchester,5843,334600.0,1996-07-01,HARLEM
1996-07-01,61897,10703,Yonkers,NY,New York,Westchester,5850,162800.0,1996-07-01,HUDSON
1996-07-01,61909,10805,New Rochelle,NY,New York,Westchester,6064,257900.0,1996-07-01,NEWHAVEN
1996-07-01,61889,10603,Greenburgh,NY,New York,Westchester,6127,218400.0,1996-07-01,missing
1996-07-01,61847,10538,Larchmont,NY,New York,Westchester,6435,408900.0,1996-07-01,NEWHAVEN
1996-07-01,61866,10567,Cortlandt Manor,NY,New York,Westchester,6618,179800.0,1996-07-01,missing
1996-07-01,61875,10580,Rye,NY,New York,Westchester,6626,493500.0,1996-07-01,NEWHAVEN
1996-07-01,61856,10549,Mount Kisco,NY,New York,Westchester,6670,310900.0,1996-07-01,HARLEM
1996-07-01,61841,10530,Hartsdale,NY,New York,Westchester,6808,244900.0,1996-07-01,HARLEM
1996-07-01,61892,10606,White Plains,NY,New York,Westchester,7268,228700.0,1996-07-01,HARLEM
1996-07-01,61833,10520,Croton-on-Hudson,NY,New York,Westchester,7477,222600.0,1996-07-01,missing
1996-07-01,61908,10804,New Rochelle,NY,New York,Westchester,7575,323500.0,1996-07-01,NEWHAVEN
1996-07-01,61840,10528,Harrison,NY,New York,Westchester,7979,450600.0,1996-07-01,NEWHAVEN
1996-07-01,61907,10803,Pelham,NY,New York,Westchester,8106,293900.0,1996-07-01,NEWHAVEN
1996-07-01,61867,10570,Pleasantville,NY,New York,Westchester,8198,300000.0,1996-07-01,HARLEM
1996-07-01,61901,10707,Yonkers,NY,New York,Westchester,8312,246800.0,1996-07-01,HUDSON
1996-07-01,61835,10522,Dobbs Ferry,NY,New York,Westchester,8519,269400.0,1996-07-01,HUDSON
1996-07-01,61828,10514,Chappaqua,NY,New York,Westchester,8526,437100.0,1996-07-01,HARLEM
1996-07-01,61879,10589,Somers,NY,New York,Westchester,8588,224700.0,1996-07-01,missing
