Month,RegionName,lower,upper,predicted
2018-05-01,10550,292774.1032600528,312794.9478802521,302784.52557015244
2018-05-01,10573,610358.2893676173,623317.9876635852,616838.1385156013
2018-05-01,10704,450832.4566768165,461043.0287829501,455937.7427298833
2018-05-01,10562,413773.05151555716,422883.6500132782,418328.3507644177
2018-05-01,10710,499705.1835097355,509028.3211563972,504366.75233306637
2018-05-01,10598,443440.42637229874,451976.54006542417,447708.48321886145
2018-05-01,10708,899768.3083279509,927338.3246991996,913553.3165135753
2018-05-01,10566,281221.803953922,292854.52425840264,287038.1641061623
2018-05-01,10591,613600.779582479,627986.5676200173,620793.6736012482
2018-05-01,10552,516409.69804298744,533739.4172046972,525074.5576238423
2018-05-01,10543,766480.9942892944,785085.6923183256,775783.34330381
2018-05-01,10605,743330.2437608811,759171.2284645989,751250.73611274
2018-05-01,10703,419883.23699758586,430475.7414634087,425179.4892304973
2018-05-01,10805,597941.9352943451,623603.0595632734,610772.4974288093
2018-05-01,10603,492422.4097095914,511891.78618343745,502157.09794651443
2018-05-01,10538,1202927.9891249458,1232861.2029367485,1217894.5960308472
2018-05-01,10567,382596.3141653568,393749.9955665644,388173.1548659606
2018-05-01,10580,1693817.7528719797,1742358.5677273583,1718088.160299669
2018-05-01,10549,711031.1512498518,732911.8671565626,721971.5092032072
2018-05-01,10530,601530.1008071285,614017.4721227724,607773.7864649504
2018-05-01,10606,604901.7975895642,615754.3406054203,610328.0690974923
2018-05-01,10520,533633.3751151208,549466.3970035459,541549.8860593333
2018-05-01,10804,722601.6287122479,740332.0936266329,731466.8611694404
2018-05-01,10528,1168597.8691786963,1215914.326242204,1192256.0977104502
2018-05-01,10803,875773.1675065303,901966.0046725752,888869.5860895527
2018-05-01,10570,632079.8080667586,648468.5838223179,640274.1959445382
2018-05-01,10707,617625.9034334677,630578.3693371713,624102.1363853195
2018-05-01,10522,720914.6129558216,737074.7535278798,728994.6832418507
2018-05-01,10514,865144.6582504361,887389.0766191733,876266.8674348047
2018-05-01,10589,433838.6416899956,444943.9664861224,439391.304088059
2018-05-01,10709,686873.1354325641,701314.745573541,694093.9405030526
2018-05-01,10536,635580.0332309769,652152.1011445238,643866.0671877504
2018-05-01,10604,641995.1724150573,655082.501657043,648538.8370360502
2018-05-01,10510,724283.3166233156,741236.9424792541,732760.1295512848
2018-05-01,10553,318020.82518733025,335850.3681261925,326935.59665676137
2018-05-01,10706,756514.1327855889,776086.8772224992,766300.505004044
2018-05-01,10523,405076.1884137802,419685.04108093143,412380.6147473558
2018-05-01,10533,900827.5652473221,924441.8088500275,912634.6870486748
2018-05-01,10504,934206.2984657673,972187.9977743622,953197.1481200648
2018-05-01,10547,358451.68269048235,366883.17637666606,362667.4295335742
2018-05-01,10590,488648.71721833915,525403.7639316298,507026.2405749845
2018-05-01,10607,498297.7623461029,511562.5112650138,504930.13680555834
2018-05-01,10595,568749.749377921,580328.7455124408,574539.2474451809
2018-05-01,10506,843257.9037283668,874849.5419473357,859053.7228378513
2018-05-01,10507,523187.3152542959,544943.155574501,534065.2354143985
2018-05-01,10502,662233.5619616185,678597.9820808747,670415.7720212466
2018-05-01,10576,793861.855826513,822628.1864715657,808245.0211490394
2018-05-01,10532,497145.9230512964,515233.92318509426,506189.9231181953
2018-05-01,10560,499303.9438326999,520657.1699052976,509980.55686899874
2018-05-01,10594,611646.9864555736,625096.5681639608,618371.7773097672
2018-05-01,10588,389045.38458149857,402359.19689085055,395702.29073617456
2018-05-01,10537,234959.36764558544,244093.28001227073,239526.32382892809
2018-05-01,10577,1027156.4267230756,1087263.6474919366,1057210.037107506
2018-05-01,10526,432079.0964657235,467102.5851795266,449590.84082262503
2018-05-01,10546,590718.2776350481,612335.7574162681,601527.0175256581
2018-05-01,10518,544013.3713810989,585335.5230485788,564674.4472148388
2018-05-01,10501,586454.7267944567,606414.5756968445,596434.6512456506
2018-06-01,10701,453382.46047427476,470925.3203862049,462153.89043023984
2018-06-01,10583,1041241.2486168845,1079684.185122775,1060462.7168698297
2018-06-01,10801,516991.252806991,535241.0009463778,526116.1268766844
2018-06-01,10705,471573.96529347514,493873.72043186816,482723.84286267165
2018-06-01,10550,284894.5936601575,320558.77435662725,302726.6840083924
2018-06-01,10573,612330.1010220863,634083.1327064368,623206.6168642616
2018-06-01,10704,450056.53997371387,468025.8043023991,459041.1721380565
2018-06-01,10562,411629.85540947673,427017.9063571076,419323.8808832922
2018-06-01,10710,497218.8147146858,514265.2418706919,505742.02829268883
2018-06-01,10598,440966.2266646157,456318.20417901373,448642.2154218147
2018-06-01,10708,912335.6848990545,963713.2934886797,938024.4891938671
2018-06-01,10566,280919.3850727322,300509.5964989498,290714.490785841
2018-06-01,10591,607658.8395401818,632596.0438225003,620127.441681341
2018-06-01,10552,515699.9573081023,548020.4686120317,531860.212960067
2018-06-01,10543,760458.1373553592,794449.3304270647,777453.7338912119
2018-06-01,10605,745259.4350946936,773032.2038983643,759145.819496529
2018-06-01,10703,417450.73113994935,435501.72893694945,426476.2300384494
2018-06-01,10805,590467.2628331939,636728.6878825179,613597.9753578559
2018-06-01,10603,487385.75150625524,518354.55339035986,502870.15244830755
2018-06-01,10538,1199226.6722257847,1252747.722524625,1225987.1973752049
2018-06-01,10567,381134.19089114637,400335.3153058098,390734.7530984781
2018-06-01,10580,1672202.991941829,1755774.3768642645,1713988.6844030467
2018-06-01,10549,708187.1064565748,746945.0603430264,727566.0833998006
2018-06-01,10530,600044.3095607325,622518.986359423,611281.6479600777
2018-06-01,10606,604296.6963265578,623155.510734231,613726.1035303944
2018-06-01,10520,528647.1755345186,555786.9642908353,542217.0699126769
2018-06-01,10804,720231.1216559403,751226.8847359694,735729.0031959548
2018-06-01,10528,1157055.2240383641,1238910.401298573,1197982.8126684686
2018-06-01,10803,876640.1308830099,922257.369369823,899448.7501264164
2018-06-01,10570,628160.9607271544,656917.9443293851,642539.4525282697
